chain_km,lat,lon,z,steep35_500m,steep45_500m,relief_500m,steep35_1500m,relief_1500m,slp_p90_1500m,grad,BSI
0.0,28.2780537,85.3769971,1805.8358154296875,0.6412776412776413,0.343980343980344,537.2982177734375,0.7476591317506857,1342.5787353515625,55.707645416259766,24.07218956188874,0.614
1.0072597750133805,28.269415471171683,85.37694459502222,1781.5888671875,0.588042588042588,0.2104832104832104,475.9813232421875,0.7378227560767994,1389.986328125,54.32891845703125,41.43787881883736,0.575
2.014519550026761,28.26223753594673,85.37251221406616,1722.3583984375,0.6257166257166257,0.2506142506142506,664.0880126953125,0.7343232762697437,1484.8543701171875,53.3527717590332,38.987709950596695,0.681
3.021779325040142,28.25664605848201,85.36550780001498,1703.04736328125,0.4782964782964783,0.19000819000819,689.56640625,0.7058545351366688,1660.5931396484375,52.15351486206055,27.142793178290958,0.577
4.029039100053522,28.248065570374,85.36382207505204,1667.6787109375,0.7280917280917281,0.366093366093366,592.0926513671875,0.6565780762319114,1179.0491943359375,50.98594665527344,41.28542117391328,0.755
5.036298875066904,28.24117955143242,85.35803059764383,1619.8770751953125,0.6928746928746928,0.312039312039312,541.2999267578125,0.6300955263406791,1394.38720703125,51.15027618408203,7.738497980098032,0.498
6.043558650080284,28.23289281938,85.36032570781445,1652.08935546875,0.4832104832104832,0.1154791154791154,499.097412109375,0.5986947886125036,1161.82666015625,49.86025238037109,16.867353934272273,0.37
7.050818425093665,28.22392084567148,85.36098055063451,1585.8974609375,0.7886977886977887,0.4037674037674038,537.21923828125,0.5829944197484158,1331.9581298828125,48.59409713745117,46.1836380767013,0.788
8.058078200107044,28.216672383105585,85.35535926334404,1559.051513671875,0.7043407043407044,0.2317772317772317,534.0096435546875,0.5377849238626691,1292.1800537109375,47.400535583496094,23.321111458220003,0.517
9.065337975120425,28.2079716945712,85.35440084725022,1538.9166259765625,0.542997542997543,0.1449631449631449,461.1622314453125,0.4324222075096945,1005.643310546875,45.197601318359375,23.241186325607032,0.412
10.072597750133808,28.199426469806937,85.35241737095775,1512.231689453125,0.5331695331695332,0.1728091728091728,511.615478515625,0.4022510167407547,1392.9835205078125,44.49161148071289,27.329547733797654,0.482
11.079857525147188,28.19127634201123,85.34843663856579,1483.8607177734375,0.583947583947584,0.2301392301392301,586.255615234375,0.4979665184904946,1298.1781005859375,46.559329986572266,24.921068396442593,0.549
12.087117300160568,28.18337957852568,85.34386090875961,1462.0277099609375,0.6478296478296478,0.1842751842751842,487.2816162109375,0.5200983637567389,1077.5970458984375,47.89676284790039,8.942404374909415,0.376
13.094377075173949,28.17475210799104,85.34289007719718,1465.8460693359375,0.4291564291564291,0.1031941031941031,399.4600830078125,0.5373120211860399,1033.459228515625,47.61539840698242,12.457777114419969,0.289
14.10163685018733,28.165833415453875,85.34271978064734,1436.9312744140625,0.5094185094185094,0.1744471744471744,432.6103515625,0.5825215170717867,989.433837890625,48.73931884765625,0.8510602634953557,0.297
15.108896625200709,28.159525156452084,85.33704299943872,1464.131591796875,0.5389025389025389,0.1859131859131859,682.8427734375,0.6175163151423437,1090.508056640625,50.09817123413086,27.496002881097297,0.573
16.116156400214088,28.154528658180805,85.32884972374795,1381.5400390625,0.8067158067158067,0.4922194922194922,738.21142578125,0.5471483968599262,1302.941162109375,51.45445251464844,53.93710308314917,0.997
17.12341617522747,28.14926697159301,85.32099223442613,1355.4742431640625,0.5741195741195741,0.2571662571662572,513.421142578125,0.552823228979476,1292.9725341796875,53.17350387573242,23.40206671005558,0.529
18.13067595024085,28.14460550605834,85.31286789355335,1334.3961181640625,0.6904176904176904,0.3325143325143325,745.63916015625,0.5000472902676629,1329.3804931640625,52.59377670288086,12.850676704915031,0.638
19.13793572525423,28.14041566974305,85.30725048363269,1329.5863037109375,0.5012285012285013,0.2178542178542178,469.9486083984375,0.458242693653646,1280.531982421875,51.89741516113281,6.630210887229964,0.382
20.14519550026761,28.13311221951554,85.30162299077664,1321.0394287109375,0.5577395577395577,0.3325143325143325,632.7119140625,0.4893596897758441,1252.031982421875,52.40426635742188,40.05654953676947,0.739
21.152455275280992,28.12586656248187,85.29652055176777,1248.8916015625,0.696969696969697,0.4709254709254709,640.7288818359375,0.5109240518301333,1293.9276123046875,52.71028137207031,34.43688560677094,0.824
22.159715050294377,28.120239560560545,85.28899307590302,1251.6656494140625,0.6633906633906634,0.3071253071253071,624.87060546875,0.4531353447460512,1406.096435546875,51.64150619506836,17.87929458221663,0.59
23.16697482530775,28.11510620066236,85.28246764246957,1212.8734130859375,0.4463554463554463,0.1441441441441441,638.4486083984375,0.4520949588574671,1377.0367431640625,50.207008361816406,25.688749598167306,0.508
24.17423460032113,28.10889233009863,85.27580212963373,1199.9151611328125,0.4832104832104832,0.1998361998361998,519.1597900390625,0.4055613354771588,1407.42041015625,46.41117858886719,24.61700144007216,0.492
25.181494375334516,28.10308438296573,85.26902218648122,1163.281982421875,0.5798525798525799,0.2252252252252252,593.04931640625,0.4544594722406129,1484.8236083984375,47.27473449707031,30.749179980867893,0.581
26.188754150347897,28.09740623432536,85.26220211546516,1137.9703369140625,0.4307944307944308,0.1253071253071253,515.0531005859375,0.5398656956398373,1582.7852783203125,48.95445251464844,24.061645988670648,0.426
27.19601392536128,28.093721719839287,85.25320075982734,1114.809326171875,0.7854217854217854,0.4062244062244062,649.5531005859375,0.5949115671994704,1311.7156982421875,49.48234939575195,40.452781865925544,0.809
28.20327370037466,28.09247123126463,85.24320783320972,1056.4774169921875,0.8214578214578214,0.3513513513513513,611.794677734375,0.6699139317128535,1363.4686279296875,49.68404769897461,34.48942168711642,0.714
29.21053347538804,28.09002724774204,85.23351187991284,1045.3297119140625,0.6576576576576577,0.1769041769041769,538.9509887695312,0.6544027239194173,1530.872314453125,49.10399627685547,24.308450435321845,0.48
30.217793250401417,28.084495917059314,85.22621473167884,1007.507568359375,0.5184275184275184,0.2137592137592137,533.7022705078125,0.6186512815662537,1455.2462158203125,48.43711853027344,38.9921939989768,0.591
31.2250530254148,28.079497571013825,85.21793492254588,966.7791748046876,0.6306306306306306,0.208026208026208,631.2957153320312,0.6503357609004067,1472.057373046875,49.13887023925781,43.343538785136275,0.656
32.232312800428176,28.07461797373964,85.20967199961852,920.191162109375,0.6453726453726454,0.2891072891072891,584.74365234375,0.6614016835335288,1260.720703125,50.76213836669922,44.55692833631923,0.707
33.239572575441564,28.067353947409494,85.20512254240472,877.0183715820312,0.6322686322686323,0.3497133497133497,636.4239501953125,0.5542419370093635,1203.837646484375,51.15467071533203,27.999246418891858,0.687
34.24683235045494,28.05889018934539,85.20848386080199,863.7861328125,0.5487305487305487,0.2817362817362817,611.8832397460938,0.5239761657050979,1281.7802734375,49.89937973022461,28.048267974831276,0.621
35.254092125468325,28.051266922748663,85.20467360776334,820.5145874023438,0.5405405405405406,0.2244062244062244,544.78369140625,0.5204766858980422,1303.3839111328125,49.5805778503418,31.138140880218202,0.56
36.2613519004817,28.04409060577578,85.19908631776362,801.0577392578125,0.6961506961506961,0.1908271908271908,612.2484130859375,0.5423247895583089,1525.8140869140625,49.50870895385742,25.277671433158048,0.531
37.26861167549509,28.03712623564305,85.19367311156216,769.5922241210938,0.6527436527436528,0.1891891891891892,557.01220703125,0.5117752766480659,1392.92919921875,48.18008804321289,21.356340827126473,0.482
38.27587145050846,28.02892151546288,85.19221031215207,758.0349731445312,0.4963144963144963,0.1474201474201474,463.572021484375,0.4026293388820581,1213.8641357421875,45.17708206176758,14.320596240114355,0.365
39.28313122552184,28.02244856124993,85.1860516440492,740.7431030273438,0.3488943488943489,0.0958230958230958,378.9847412109375,0.3183580819067436,1050.774658203125,42.87057495117188,33.55180111130977,0.393
40.29039100053523,28.01466313826394,85.18540570683348,690.4442138671875,0.2891072891072891,0.0712530712530712,364.186767578125,0.2923484346921403,824.6397094726562,41.76319122314453,35.23325865860323,0.375
41.29765077554861,28.005997276533048,85.18392524011287,669.7650146484375,0.3611793611793611,0.0647010647010647,335.67901611328125,0.2620826633878748,798.846923828125,40.5626335144043,21.31734778479415,0.278
42.30491055056199,27.997513478764148,85.18591121089938,647.5,0.4037674037674038,0.0892710892710892,390.8466796875,0.2232100633689586,862.1278076171875,39.51350784301758,19.739205135988584,0.315
43.312170325575366,27.99004961587068,85.18286211035881,630.0,0.226044226044226,0.0294840294840294,289.341064453125,0.2070367918282417,839.728515625,39.177581787109375,14.986628912681851,0.192
44.319430100588754,27.982288047918058,85.18031420368374,617.3091430664062,0.1850941850941851,0.0352170352170352,269.43701171875,0.1758252151707178,703.400146484375,38.56767272949219,13.89909569238381,0.182
45.32668987560213,27.973708247057747,85.18327781791209,602.0,0.1539721539721539,0.0229320229320229,201.4268798828125,0.2628393076704814,800.352783203125,41.94858932495117,14.052553158905994,0.141
